,Total,Tip,Gender,Smoker,Day,Time,Number of guests
107,25.21,4.29,Male,Yes,Saturday,Night,2
108,18.24,3.76,Male,No,Saturday,Night,2
109,14.31,4.0,Female,Yes,Saturday,Night,2
110,14.0,3.0,Male,No,Saturday,Night,2
111,7.25,1.0,Female,No,Saturday,Night,1
112,38.07,4.0,Male,No,Sunday,Night,3
113,23.95,2.55,Male,No,Sunday,Night,2
114,25.71,4.0,Female,No,Sunday,Night,3
115,17.31,3.5,Female,No,Sunday,Night,2
116,29.93,5.07,Male,No,Sunday,Night,4
117,10.65,1.5,Female,No,Thursday,Noon,2
118,12.43,1.8,Female,No,Thursday,Noon,2
119,24.08,2.92,Female,No,Thursday,Noon,4
120,11.69,2.31,Male,No,Thursday,Noon,2
121,13.42,1.68,Female,No,Thursday,Noon,2
122,14.26,2.5,Male,No,Thursday,Noon,2
123,15.95,2.0,Male,No,Thursday,Noon,2
124,12.48,2.52,Female,No,Thursday,Noon,2
125,29.8,4.2,Female,No,Thursday,Noon,6
126,8.52,1.48,Male,No,Thursday,Noon,2
127,14.52,2.0,Female,No,Thursday,Noon,2
128,11.38,2.0,Female,No,Thursday,Noon,2
129,22.82,2.18,Male,No,Thursday,Noon,3
130,19.08,1.5,Male,No,Thursday,Noon,2
131,20.27,2.83,Female,No,Thursday,Noon,2
132,11.17,1.5,Female,No,Thursday,Noon,2
133,12.26,2.0,Female,No,Thursday,Noon,2
134,18.26,3.25,Female,No,Thursday,Noon,2
135,8.51,1.25,Female,No,Thursday,Noon,2
136,10.33,2.0,Female,No,Thursday,Noon,2
137,14.15,2.0,Female,No,Thursday,Noon,2
138,16.0,2.0,Male,Yes,Thursday,Noon,2
139,13.16,2.75,Female,No,Thursday,Noon,2
140,17.47,3.5,Female,No,Thursday,Noon,2
141,34.3,6.7,Male,No,Thursday,Noon,6
142,41.19,5.0,Male,No,Thursday,Noon,5
143,27.05,5.0,Female,No,Thursday,Noon,6
144,16.43,2.3,Female,No,Thursday,Noon,2
145,8.35,1.5,Female,No,Thursday,Noon,2
146,18.64,1.36,Female,No,Thursday,Noon,3
147,11.87,1.63,Female,No,Thursday,Noon,2
148,9.78,1.73,Male,No,Thursday,Noon,2
149,7.51,2.0,Male,No,Thursday,Noon,2
150,14.07,2.5,Male,No,Sunday,Night,2
151,13.13,2.0,Male,No,Sunday,Night,2
152,17.26,2.74,Male,No,Sunday,Night,3
153,24.55,2.0,Male,No,Sunday,Night,4
154,19.77,2.0,Male,No,Sunday,Night,4
155,29.85,5.14,Female,No,Sunday,Night,5
156,48.17,5.0,Male,No,Sunday,Night,6
157,25.0,3.75,Female,No,Sunday,Night,4
158,13.39,2.61,Female,No,Sunday,Night,2
159,16.49,2.0,Male,No,Sunday,Night,4
160,21.5,3.5,Male,No,Sunday,Night,4
161,12.66,2.5,Male,No,Sunday,Night,2
162,16.21,2.0,Female,No,Sunday,Night,3
163,13.81,2.0,Male,No,Sunday,Night,2
164,17.51,3.0,Female,Yes,Sunday,Night,2
165,24.52,3.48,Male,No,Sunday,Night,3
166,20.76,2.24,Male,No,Sunday,Night,2
167,31.71,4.5,Male,No,Sunday,Night,4
168,10.59,1.61,Female,Yes,Saturday,Night,2
169,10.63,2.0,Female,Yes,Saturday,Night,2
170,50.81,10.0,Male,Yes,Saturday,Night,3
171,15.81,3.16,Male,Yes,Saturday,Night,2
172,7.25,5.15,Male,Yes,Sunday,Night,2
173,31.85,3.18,Male,Yes,Sunday,Night,2
174,16.82,4.0,Male,Yes,Sunday,Night,2
175,32.9,3.11,Male,Yes,Sunday,Night,2
176,17.89,2.0,Male,Yes,Sunday,Night,2
177,14.48,2.0,Male,Yes,Sunday,Night,2
178,9.6,4.0,Female,Yes,Sunday,Night,2
179,34.63,3.55,Male,Yes,Sunday,Night,2
180,34.65,3.68,Male,Yes,Sunday,Night,4
181,23.33,5.65,Male,Yes,Sunday,Night,2
182,45.35,3.5,Male,Yes,Sunday,Night,3
183,23.17,6.5,Male,Yes,Sunday,Night,4
184,40.55,3.0,Male,Yes,Sunday,Night,2
185,20.69,5.0,Male,No,Sunday,Night,5
186,20.9,3.5,Female,Yes,Sunday,Night,3
187,30.46,2.0,Male,Yes,Sunday,Night,5
188,18.15,3.5,Female,Yes,Sunday,Night,3
189,23.1,4.0,Male,Yes,Sunday,Night,3
190,15.69,1.5,Male,Yes,Sunday,Night,2
191,19.81,4.19,Female,Yes,Thursday,Noon,2
192,28.44,2.56,Male,Yes,Thursday,Noon,2
193,15.48,2.02,Male,Yes,Thursday,Noon,2
194,16.58,4.0,Male,Yes,Thursday,Noon,2
195,7.56,1.44,Male,No,Thursday,Noon,2
196,10.34,2.0,Male,Yes,Thursday,Noon,2
197,43.11,5.0,Female,Yes,Thursday,Noon,4
198,13.0,2.0,Female,Yes,Thursday,Noon,2
199,13.51,2.0,Male,Yes,Thursday,Noon,2
200,18.71,4.0,Male,Yes,Thursday,Noon,3
201,12.74,2.01,Female,Yes,Thursday,Noon,2
202,13.0,2.0,Female,Yes,Thursday,Noon,2
203,16.4,2.5,Female,Yes,Thursday,Noon,2
204,20.53,4.0,Male,Yes,Thursday,Noon,4
205,16.47,3.23,Female,Yes,Thursday,Noon,3
206,26.59,3.41,Male,Yes,Saturday,Night,3
207,38.73,3.0,Male,Yes,Saturday,Night,4
208,24.27,2.03,Male,Yes,Saturday,Night,2
209,12.76,2.23,Female,Yes,Saturday,Night,2
210,30.06,2.0,Male,Yes,Saturday,Night,3
211,25.89,5.16,Male,Yes,Saturday,Night,4
212,48.33,9.0,Male,No,Saturday,Night,4
213,13.27,2.5,Female,Yes,Saturday,Night,2
214,28.17,6.5,Female,Yes,Saturday,Night,3
215,12.9,1.1,Female,Yes,Saturday,Night,2
216,28.15,3.0,Male,Yes,Saturday,Night,5
217,11.59,1.5,Male,Yes,Saturday,Night,2
218,7.74,1.44,Male,Yes,Saturday,Night,2
219,30.14,3.09,Female,Yes,Saturday,Night,4
220,12.16,2.2,Male,Yes,Friday,Noon,2
221,13.42,3.48,Female,Yes,Friday,Noon,2
222,8.58,1.92,Male,Yes,Friday,Noon,1
223,15.98,3.0,Female,No,Friday,Noon,3
224,13.42,1.58,Male,Yes,Friday,Noon,2
225,16.27,2.5,Female,Yes,Friday,Noon,2
226,10.09,2.0,Female,Yes,Friday,Noon,2
227,20.45,3.0,Male,No,Saturday,Night,4
228,13.28,2.72,Male,No,Saturday,Night,2
229,22.12,2.88,Female,Yes,Saturday,Night,2
230,24.01,2.0,Male,Yes,Saturday,Night,4
231,15.69,3.0,Male,Yes,Saturday,Night,3
232,11.61,3.39,Male,No,Saturday,Night,2
233,10.77,1.47,Male,No,Saturday,Night,2
234,15.53,3.0,Male,Yes,Saturday,Night,2
235,10.07,1.25,Male,No,Saturday,Night,2
236,12.6,1.0,Male,Yes,Saturday,Night,2
237,32.83,1.17,Male,Yes,Saturday,Night,2
238,35.83,4.67,Female,No,Saturday,Night,3
239,29.03,5.92,Male,No,Saturday,Night,3
240,27.18,2.0,Female,Yes,Saturday,Night,2
241,22.67,2.0,Male,Yes,Saturday,Night,2
242,17.82,1.75,Male,No,Saturday,Night,2
243,18.78,3.0,Female,No,Thursday,Night,2
